puuid,win_rate,kda,kill_death_ratio,avg_damage,avg_cs,avg_vision_score,avg_game_duration,avg_champion_level,avg_gold_earned,gold_efficiency,unique_champions,total_games_played,unique_play_days,avg_time_between_games_hrs,median_time_between_games_hrs,play_frequency,feature_window_days,kda_trend,winrate_trend,last_gap_days,churn
9U9ZEjgKU8lkQ-PLmfc9eJJAMylFpATNY4cQqmJR8Bq8mAuurdMasxoZGdI6TQijzl-alUixXOhOPw,0.3929,3.4865,0.1712,4777.0,36.79,87.36,1592.25,12.14,7548.75,0.909,4,28,7,6.9323,0.7073,3.5795,7.82,1.3967,0.5,0.0215,0
9w_8LitDgt7lJq5NGQlfwFiJ-szXBb4x9lzsf0EYg6Be7wrxoHxmC_iUJ_D4sydXw5Ow27fWTX_ynQ,0.5938,2.7541,1.0601,21094.19,185.12,29.41,1720.62,14.47,13301.16,0.927,5,32,3,1.4271,0.639,17.1716,1.86,-0.3618,-0.1875,0.0281,0
A35XzJHLokbK31tr_FTbBbpkz8a9UxtXM-XBss-S7DogPUdQPB7IPRqWmCJkioDBDGkKjo8ukqWl3g,0.5312,2.1405,0.9676,22609.97,181.09,25.97,1648.31,14.53,12992.0,0.9363,22,32,6,11.523,0.643,2.1464,14.91,0.9759,0.3125,0.0275,1
A4v0ZUNvKOJUkfkWnJvtkwW48IGAkaYY2iyJfenGGDF1Y1aVvRHr-4agk7HGVIrzt2PziTq6PUulLA,0.303,2.371,0.491,21626.18,34.45,0.0,1123.88,15.82,12206.76,0.9179,27,33,6,5.2439,0.3879,4.7157,7.0,-0.2579,0.1029,0.0141,0
A7Rc2JIuffeMqsgJl4x1QRjjdWAxYFB4PyqhjRXriAuQRnEfwgPZneeV963JoAeIQXHXiPfUxWT-7A,0.4828,2.1209,1.1923,23894.79,197.62,24.24,1577.69,13.97,13235.59,0.9288,14,29,7,5.623,0.588,4.4115,6.57,-0.2217,-0.0333,0.0217,1
AT9u3LpMJsBI1eSxHK-0KCV4a95Pp2n0kVShT55lXMzT54EhDEJcl4n1YtuSzjERBdTlO2zum7Uk0w,0.4783,2.4907,1.5,24768.74,239.39,17.65,1645.04,14.52,14442.57,0.9033,12,23,7,6.5461,0.6586,3.818,6.02,-0.259,0.0455,0.0137,0
AUAoMBEI1uq6V9VWz6K2fADs0sHUvKqygpStsOvIS-2-i7IQFy0yu0lJ9-Nyd4dswwOrVJWXCCY07A,0.5,3.8571,1.5524,17456.9,54.47,30.17,1540.77,14.4,11611.37,0.9207,11,30,7,4.4251,0.6503,5.5922,5.36,0.0272,-0.0667,0.0215,0
ApFpMtVJ_QfOOWsMa78s0cAESPqly1hGg8uMWZzTZCFYGMuhjFU9bx5vtYJJ0WKQW8U5_ZY6ZlLGdw,0.625,3.2632,1.7193,25992.75,203.79,26.08,1728.79,16.33,14464.29,0.9111,11,24,6,6.5449,0.6622,3.8143,6.29,1.0275,-0.0833,0.0269,0
BI6AOhxocffT7jOMCXx_Er8gN2K1uohdtbG1ZsnaF0gEC76F4Fxf3gwpsElzAzlIY92MVbsXLfDMwg,0.52,3.531,1.3451,24349.68,206.44,27.92,1748.96,15.8,12088.68,0.9437,2,25,4,3.619,0.7916,6.8876,3.63,0.9401,-0.1218,1.4722,1
BjZDGFAKPmayTQSMRHvQdv3P4sExtP6Vsfge6OFgL2mQoj7HvZ9XjzcfO3Xx7mo2mpHrmpqs1klKDA,0.6471,2.0899,1.0423,20918.85,201.62,21.03,1662.44,15.91,12064.53,0.907,6,34,9,7.3146,0.6856,3.3742,10.08,0.6952,0.0,0.0148,1
Bmtz-uCfFeG0XczrpbLjLNn3eCaupXYyas3wa5DQSPPQb9ublaJMZdsqlknOqLsHIDHA-luP12cVSQ,0.4688,2.172,1.0806,18731.47,43.41,33.41,1656.09,14.94,12831.44,0.9274,5,32,4,2.6108,0.6343,9.4368,3.39,0.097,0.0625,0.9022,0
BzpvmkPIByUSfDKt4dovzdA4dVN3zs0S0t0sF_Lro12myv7Lg_p0zfhK2TrhAwiAWroFfkbkS0fzYA,0.4545,1.9299,1.1729,26233.91,206.85,20.48,1749.45,15.7,13699.76,0.9437,13,33,1,0.5798,0.5439,41.2683,0.8,1.0894,0.3971,0.0224,0
CairBp0GzQIc91WEgs1OnK3ImDGpyFbScXfc-3mECuN4Qpcia8quwRoKDs-lMv3eEBf68bzsenZxqA,0.3043,1.5538,0.4,12019.83,129.09,40.87,1546.09,13.52,8724.91,0.9518,7,23,5,6.7868,0.9884,3.6876,6.24,0.0275,-0.2879,0.0222,0
D6Q8B8GPuV0Q6hAFC6M8-xtAKRV3ScBCuvlyLLMTwtO1Rh2KqkVkcpZiW5ZKAQOQLrfT_8QqeOnZvA,0.7037,4.396,0.4356,7417.78,28.52,66.22,1596.85,12.41,8221.67,0.8609,6,27,4,3.371,0.6013,7.3654,3.67,-0.1663,-0.2747,0.0061,0
DHpnoMcD94jps5FKM70IYWcF1g0ts2EsClFbwBEUWyIiYOvShuciiUAA9kgMFjODlEQ-OTLQfw1aFA,0.8125,3.86,2.36,20826.19,168.81,18.75,1418.06,14.25,11268.19,0.8916,5,16,4,4.8208,1.7555,5.268,3.04,1.3109,0.375,0.0644,1
DY1dG-BXULh306TYZktKK6nceX-x3EqT2f2n2tbrybs2NlRfJp8fmSAo-Kk2QHyYwTTJ0s0c-3MJ_Q,0.4,1.3941,0.6108,17463.13,168.4,20.53,1585.17,15.0,10404.37,0.9458,17,30,2,1.2446,0.6128,19.7775,1.52,-0.2798,-0.1333,0.0247,0
DbJLwCN2620SFDfKvwMLLJC3hipsUJNhAIxQq2L-Lax4NntS2CG4sZ5rA1BES0QQ-MDmkRHnUBvhyQ,0.4688,2.6581,1.1806,21658.94,199.97,17.53,1636.41,15.06,11834.31,0.9053,8,32,5,7.5061,0.7144,3.2952,9.71,-0.371,-0.1875,0.2222,0
ElXdj5x3C4PEO7kIPBaL6n73vKagQmxX_9L7TAVkqu4aV2bZMiH0JJIPjNKO7eEQPrSNsWeTyvrRvA,0.3824,1.4432,0.7081,18031.94,168.21,17.91,1492.85,14.35,10419.06,0.9218,18,34,7,4.4025,0.6446,5.5953,6.08,0.4083,-0.0588,0.0184,0
FfGB8jvwnL8nJm3jbdRCq3dPxyQIJ8aR4CLytjA0DCQRNNvX7F0OOWpNmou5xrz83nT_hvJfWfZVVQ,0.4,2.9483,1.1897,18550.23,157.57,24.57,1583.9,13.73,10533.73,0.9316,13,30,2,1.2925,0.5817,18.8504,1.59,-0.1362,0.0,0.024,0
FpTEs-WlhCWkzTY1t_7lZZglqx-trECEkYhM9-PlV-P5NR5lGec4py571oEolqJ2cJKrO6E7-HRLQw,0.7,2.0443,0.7911,20283.43,161.37,27.9,1504.73,14.77,10102.57,0.9223,14,30,2,1.3926,0.5969,17.6396,1.7,-0.3442,0.0667,0.0261,0
FubykgDbfvxvrMtUXS4gvj4BCBXI_eN_Cy96mwQJYCduB1nhXxJUdcwLKZPk_Be-NmDFORMYCThOnA,0.4,1.75,0.5588,22949.73,224.3,18.73,1714.9,15.17,12575.93,0.9281,8,30,7,6.7415,0.7216,3.6722,8.17,0.5526,0.0,0.0221,1
FzmEoaBz6ePl9R2aPGZoBfshJVTpAw8gNB3ycOcNB-_0ZT8gjEwYvrsjESIxs0xPO1cLjkH-Xz8Btw,0.6286,3.6161,0.5804,16206.71,42.83,51.6,1502.89,14.14,10278.17,0.9254,21,35,7,4.2995,0.7182,5.7323,6.11,-0.8687,-0.0359,0.1579,1
GB9FyO0WCsSqbOZd4wL-YCcWmaUQWRsTE0wquW3vQdVY_S7xFmVMMCZXvcO9LDR7JpIzSs_qPSq8MA,0.5,3.4672,1.6803,25843.57,162.33,19.67,1558.93,13.87,10501.73,0.9212,5,30,3,2.4268,0.6369,10.1734,2.95,1.0626,0.0667,0.0737,0
GhjaCJ1sl5FlG02ual22lRgnUGradUG0X6s_SA8WyKhrS3PHc4Ecxcc72plKrK7tmCBjnQH8xGvYxQ,0.4516,4.0515,2.0882,23972.1,19.65,22.45,1685.58,15.58,13420.61,0.9065,3,31,6,6.3205,0.6848,3.9138,7.92,1.2107,0.2292,0.0236,1
Gke4SKTF-lDJX-Ko43zBPwM_lgT31Qk7Kd78pAs-15YYjAHEdHF3kgAAKO5nP_9p9aHWBLc81AQ2xg,0.6667,2.8047,1.7734,25603.21,151.33,21.58,1605.21,15.38,13050.12,0.9389,5,24,3,2.293,0.5822,10.8358,2.21,0.6863,0.3333,0.0205,1
GpuL5NW7wcmoUc5ax1ABbBe57IKuqQa4VPU8hlNLj88wNGG8HjRExfuMQQE-5fIMsvHM2o5aABZr4g,0.4706,1.8142,1.1327,26666.15,221.85,19.29,1627.85,15.65,12960.18,0.9424,6,34,4,2.6317,0.695,9.3495,3.64,-0.1339,0.3529,0.1069,0
HKCOvfrmj6WokXRyFiOdlpxDYDaukoWSitz0K1Ft2n8JqNRbWMDuwDHIqp43VSXhP8FMqgZx8xeMlw,0.5312,2.3575,1.2754,27071.66,160.56,19.56,1767.03,15.59,13741.62,0.9051,17,32,4,6.3914,0.6669,3.8656,8.28,0.2075,-0.0625,0.2432,1
HX-MconXs7gAKBsb_gceqv8xczzVYYtOFCrlFhxz0mn-g6khDXIMKdTFUksYwkov8sfudBiH7XNvwA,0.3235,1.835,0.325,11949.0,60.97,59.56,1619.38,12.24,8420.68,0.9291,14,34,6,4.1778,0.8102,5.9078,5.76,-0.4267,-0.1765,0.0371,0
IPsmO304cP-BCNn-iO5X_d84_IEtks3zwPaJ13PinLolBILNt7J2s-bLwAtLiK0s06d1AdLCPvn7Xg,0.3929,2.1106,1.0754,24020.64,155.14,21.46,1600.29,14.11,13448.18,0.9636,17,28,4,4.9577,0.9191,4.9978,5.6,0.0369,0.2143,0.1031,0
JXHLTeWYWVeq133EWyR6OdglyITlRKkXlbge7Yfg7cd_9bCtmcf1-LRHFDyhcF4rQWrcsf0hWg1uzQ,0.5333,3.411,1.1164,16644.77,42.8,33.87,1713.57,15.77,12906.03,0.9191,5,30,4,2.4113,0.7869,10.2293,2.93,-1.192,-0.2667,0.3467,0
Jgqrn9SKBTimdU7a7aUYG7z8XWr5s1mGhVMJxZaGJX55uOYqRRTV2M_eEbNckvXvFqW0-zYlONBcLA,0.3448,2.4468,0.8245,20628.83,61.1,42.97,1669.45,13.83,10917.79,0.9201,14,29,3,1.6388,0.6706,14.9883,1.93,0.766,0.3905,0.0228,0
Jmo4yxUakPkK_wdKvkNvIr6olbhoNQk1pQ1jzgcA7TpfZMg7RkqAzzly8jp8NmSij6a4DUVEWZzIaQ,0.5806,2.1117,1.1218,24249.65,192.29,15.55,1536.97,13.74,12860.39,0.8791,9,31,7,4.9248,1.53,5.0207,6.17,0.1613,-0.1667,0.252,0
